grid_id,grid_lat,grid_lon,stop_count,yolcu_per_stop,sefer_per_stop,kapasite_per_stop,doluluk_orani,kapasite_kullanimi,reconstruction_error,anomaly_autoencoder,anomaly_score_if,anomaly_isolation_forest,lof_score,anomaly_lof,graph_anomaly_score,anomaly_graph,anomaly_count,anomaly_consensus
39.955_32.8353,39.95495495495496,32.83529411764706,51.65,93.56433873445758,0.8650513250856899,179.70504966505277,44.382036106477,53.123072079967514,0.12071961351623793,False,-0.4963388989623573,False,-1.0329762331100585,False,1.5249040056169274,False,0,False
39.955_32.8471,39.95495495495496,32.84705882352941,36.35625,107.45734525951184,0.7961219045696682,193.80286816844782,48.35084459459459,58.11030471862243,0.2085526946536903,False,-0.4955086315864547,False,-1.1137301657080045,False,1.6015838053915212,False,0,False
39.955_32.8588,39.95495495495496,32.858823529411765,203.8875,147.74453813928156,1.0253232265152417,289.5081441367394,45.75566385909712,50.510588228724,0.17080749324598965,False,-0.6191428329515909,True,-1.5222708059577328,False,3.014890946079485,False,1,False
39.955_32.8706,39.95495495495496,32.870588235294115,93.325,86.55752469972597,0.4426789100591135,163.9279480950543,47.63123524504196,53.049186840258315,0.012159122449488696,False,-0.4641049531904034,False,-1.179917245243703,False,0.2777406455754223,False,0,False
39.955_32.8824,39.95495495495496,32.88235294117647,36.9937106918239,14.00092521153923,0.15518136132096746,22.29586582853421,52.69051735888,63.905314105102136,0.022481910417976553,False,-0.3956120067214055,False,-1.0106364160868224,False,1.8391989855206592,False,0,False
39.955_32.8941,39.95495495495496,32.89411764705882,121.78616352201257,42.18867225246001,0.3475583919602232,73.49774583697419,52.35623862783774,58.673643970230856,0.18997394712095392,False,-0.44172517576170234,False,-1.0764661695549158,False,1.2515317861570172,False,0,False
39.955_32.9059,39.95495495495496,32.90588235294118,79.925,51.20899884111659,0.11914324235270053,93.90756329450308,50.836226912995805,57.703713979690136,0.064038483895344,False,-0.4226494693376857,False,-1.066974677106249,False,0.4330573911660278,False,0,False
39.955_32.9176,39.95495495495496,32.917647058823526,90.96875,34.372426591201965,0.14353191307516117,62.419348591391746,53.61989959089823,58.97434121293253,0.11760782148977195,False,-0.41764793168800945,False,-1.0396527461124516,False,0.9299957890604947,False,0,False
39.955_32.9294,39.95495495495496,32.92941176470588,25.76875,49.56666307492169,0.20629641535775067,91.56052634357594,51.019038461538464,57.36889437740115,0.01970701312058711,False,-0.39571166966798854,False,-1.0724771906355142,False,0.8350924918013126,False,0,False
39.955_32.9412,39.95495495495496,32.94117647058823,58.45625,41.58014587060799,0.15526545116651763,77.86358831515776,49.27221270455874,54.18460985431599,0.01629095260223019,False,-0.3905963751893518,False,-1.0052916640843415,False,0.300998787158192,False,0,False
39.955_32.9529,39.95495495495496,32.95294117647059,15.735849056603774,7.182402237782741,0.05511667302732619,12.904728410335403,49.494332428988365,56.00445858411143,0.006404804532707187,False,-0.3731972380603026,False,-1.0810641024185272,False,0.9972112067787708,False,0,False
39.955_32.9647,39.95495495495496,32.96470588235294,10.0,10.287067694209,0.07142775121728473,17.977511781975284,49.62641509433962,58.231247005356074,0.018158606094592297,False,-0.37607796042850805,False,-1.1449156646204917,False,0.8056483740662469,False,0,False
39.955_32.9765,39.95495495495496,32.976470588235294,49.710691823899374,31.583700054508768,0.243668449883619,55.548541854992735,52.111050121443164,58.45603330437074,0.004536571157392347,False,-0.3849416461905893,False,-0.9927857609372174,False,0.7444169407524925,False,0,False
39.955_33.0824,39.95495495495496,33.08235294117647,3.1257861635220126,3.3468422072587463,0.06249715224715246,8.766360651062376,35.65006988120196,39.121059500599394,0.005149121805632477,False,-0.3667031433181713,False,-1.1007596820286591,False,0.020979233124596243,False,0,False
39.955_33.1765,39.95495495495496,33.1764705882353,20.88050314465409,1.7368830312114032,0.03085679222828186,4.332854685055671,33.66908339156767,41.23301825179668,0.022416694478879156,False,-0.38395599872593034,False,-1.2586082237250498,False,0.8698700672271948,False,0,False
39.955_33.1882,39.95495495495496,33.188235294117646,5.0,0.2724850999374362,0.006918238993710657,0.9699364483519379,28.760482180293504,29.105854123308173,0.0003684959111697084,False,-0.3788249745354368,False,-0.9912126476289469,False,0.8698700672271948,False,0,False
39.964_32.5176,39.96396396396396,32.51764705882353,8.8375,34.772484865588225,0.12021679432759036,62.999909936925675,46.289968171296294,59.52931315544921,0.064167982634896,False,-0.4014514296046677,False,-1.1811316342628582,False,3.697913654967562,False,0,False
39.964_32.5294,39.96396396396396,32.529411764705884,2.0,0.21888007778081606,0.01100882123578318,1.5797607834796787,13.895702306079663,13.90681060499021,0.002219656552873634,False,-0.42540814612232425,False,-1.001796191352422,False,1.8489568274837813,False,0,False
39.964_32.5412,39.96396396396396,32.54117647058823,2.0,0.21888007778081606,0.01100882123578318,1.5797607834796787,13.895702306079663,13.90681060499021,0.002219656552873634,False,-0.42540814612232425,False,-1.001796191352422,False,1.2042199535402005,False,0,False
39.964_32.5647,39.96396396396396,32.56470588235294,14.89375,31.850144699604378,0.03597045177834897,60.87218761056026,52.45425,46.053291113784525,0.030355775252117013,False,-0.4015397612118468,False,-1.7874359271892692,True,2.141705009475108,False,1,False
39.964_32.5765,39.96396396396396,32.576470588235296,85.34146341463415,230.6809447754665,0.1561779311605167,427.031200957418,54.14767598512692,59.64263583054613,0.04153921589110813,False,-0.5672089847325191,True,-1.0030655045901773,False,2.836810796649258,False,1,False
39.964_32.5882,39.96396396396396,32.588235294117645,103.01234567901234,66.0509968633576,0.05778855947973171,120.47805354259764,54.21709729161992,61.74888829653434,0.14179728028695812,False,-0.4921034412542474,False,-1.2695387487106078,False,1.0656789775001465,False,0,False
39.964_32.6,39.96396396396396,32.6,44.20496894409938,63.456489917237676,0.07944858804739163,115.68454542429828,48.71710230590666,57.03777418067124,0.010874181689458487,False,-0.43119049701007084,False,-1.1444593906578393,False,0.7424476252769663,False,0,False
39.964_32.6118,39.96396396396396,32.61176470588235,109.8036809815951,79.20222924445247,0.10704691417674912,151.70888960527876,45.42126624682565,54.35584472956684,0.15203854286336257,False,-0.4817641270989936,False,-1.33837097058904,False,1.0245405501530098,False,0,False
